name,website,address,latitude,longitude,category,Video
Agava,https://www.agavarestaurant.com/,"381 Pine Tree Road, Ithaca, NY, 14850",42.4383397,-76.4649064,RESTAURANTS,
Alley Cat Cafe,https://www.alleycatithaca.com/,"112 North Cayuga Street, Ithaca, NY, 14850",42.4398927,-76.4992218,RESTAURANTS,https://www.instagram.com/p/C1m7oYqOWPI/
Alléchant,https://www.allechantithaca.com/,"903 Hanshaw Road, Ithaca, NY, 14850",42.4686916,-76.4791939,RESTAURANTS,
Applebee's,https://restaurants.applebees.com/ny/ithaca-96015.html,"2300 North Triphammer Road, Ithaca, NY, 14850",42.4818777,-76.4852556,RESTAURANTS,
Arby's,https://www.arbys.com/locations/us/ny/ithaca/328-elmira-rd/store-5127/,"328 Elmira Road, Ithaca, NY, 14850",42.4258657,-76.5128003,RESTAURANTS,
Asian Chili Spot,https://asianchiliphotime.com/home/,"208B Dryden Road, Ithaca, NY, 14850",42.4417132,-76.4845543,RESTAURANTS,https://www.tiktok.com/@ipourit/video/7245084843397123371
Bar Argos,https://www.argosinn.com/bar,"408 E State St, Ithaca, NY 14850",42.4396224,-76.4931921,ENTERTAINMENT,https://www.instagram.com/reel/DJRxMwCusSs/?hl=en
BiBiBowl Asian Grill,https://bibibowlusa.com/,"202 Dryden Road, Ithaca, NY, 14850",42.4417231,-76.4848633,RESTAURANTS,
Bickering Twins,https://www.bickeringtwins.com/,"114 North Cayuga Street, Ithaca, NY, 14850",42.4398594,-76.4992936,RESTAURANTS,
Bike Bar,https://bikebarithaca.com/,314 East State Street Ste 100,42.4396888,-76.4949871,ENTERTAINMENT,https://www.facebook.com/bikebarithaca/videos/open-until-11pm-ride-in-and-harass-chris-and-beorn-ithaca-fingerlakes-lawsonsfin/775831970017674/
Capital Corner,http://www.capitalcornerithaca.com/,"140 West State Street, Ithaca, NY, 14850",42.4395892,-76.5005658,RESTAURANTS,
Chanticleer,https://chanticleer.res-menu.com/,"101 W State St, Ithaca, NY 14850",42.4394021,-76.4991972,ENTERTAINMENT,
Chili's,https://www.chilis.com/locations/us/new-york/ithaca/ithaca/,"608 South Meadow Street, Ithaca, NY, 14850",42.4330912,-76.5084764,RESTAURANTS,
Chipotle,https://locations.chipotle.com/ny/ithaca/740-s-meadow-st,"740 South Meadow Street, Ithaca, NY, 14850",42.4302316,-76.5082272,RESTAURANTS,
Ciao!,https://ciaoithaca.com/,"2 Hickory Hollow Lane, Ithaca, NY, 14850",42.4877279,-76.4890655,RESTAURANTS,
Cinemapolis,http://www.cinemapolis.org/,"120 120, Ithaca, NY",42.4389256,-76.497232,ENTERTAINMENT,https://www.youtube.com/shorts/E3Asf0MnLZg?feature=share
Coal Yard Cafe,https://www.thecoalyardcafe.com,"143 Maple Avenue, Ithaca, NY, 14850",42.4410938,-76.4753234,RESTAURANTS,
Collegetown Bagels,https://www.collegetownbagels.com/,"301 East State Street, Ithaca, NY",42.4394242,-76.4951981,RESTAURANTS,https://www.tiktok.com/@collegetownbagels/video/7539690303691754765
Collegetown Bagels,https://www.collegetownbagels.com/,"420 College Avenue, Ithaca, NY, 14850",42.4422537,-76.4854725,RESTAURANTS,
Cornell Dairy Bar,https://scl.cornell.edu/cornell-dairy-bar,"Ithaca, NY",42.4472807,-76.4705563,RESTAURANTS,https://www.instagram.com/reel/C7pXH39uJv8/?hl=en
Creola Southern Steakhouse,https://creolasteakhouse.com/,"112 North Aurora Street, Ithaca, NY, 14850",42.4401161,-76.4958144,RESTAURANTS,
Crossroads Bar and Grill,http://www.thecrossroadsbarandgrille.com/,"3120 North Triphammer Road, Ithaca, NY, 14882",42.5391551,-76.4931869,RESTAURANTS,
D.P. Dough,https://www.dpdough.com/,"408 College Ave, Ithaca, NY, 14850",42.4418993,-76.4853983,RESTAURANTS,
De Tasty Hot Pot,http://www.tastyhotpot.com/,"422 Eddy Street, Ithaca, NY, 14850",42.4421437,-76.4876103,RESTAURANTS,
Domino's,https://pizza.dominos.com/new-york/ithaca/311-e-green-st,"311 East Green Street, Ithaca, NY, 14850",42.4390663,-76.4941552,RESTAURANTS,
Dos Amigos,https://www.dosamigosfood.com/,"403 College Avenue, Ithaca, NY, 14850",42.4418332,-76.4851139,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/freeville/1414-dryden-rd/350325,"1414 Dryden Road, Freeville, NY, 13068",42.4719642,-76.400865,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/ithaca/205-s-meadow-st/343337,"205 South Meadow Street, Ithaca, NY, 14850",42.4381195,-76.5079215,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/lansing/32-peruville-rd/346810,"32 Peruville Road, Lansing, NY, 14882",42.5389613,-76.4917308,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/ithaca/408-elmira-rd/351104,"408 Elmira Road, Ithaca, NY, 14850",42.4196236,-76.5206351,RESTAURANTS,
FairPour Coffee Roasters,https://www.fairpour.com/hours,"430 West State Street, Ithaca, NY, 14850",42.4394957,-76.5054869,RESTAURANTS,
Five Guys,https://restaurants.fiveguys.com/222-elmira-road,"222 Elmira Road, Ithaca, NY, 14850",42.4297901,-76.5074928,RESTAURANTS,
Franco's Pizzeria,https://www.francosithaca.com/,"527 West State Street, Ithaca, NY, 14850",42.4389342,-76.5076823,RESTAURANTS,
Fusia Bento Bar,https://www.fusiabento.com/,"405 College Avenue, Ithaca, NY, 14850",42.442172,-76.4851322,RESTAURANTS,
Gangnam Station,https://www.gangnamstationithacany.com/order,"104 Dryden Road, Ithaca, NY, 14850",42.4417385,-76.4864325,RESTAURANTS,
Gimme Coffee,https://gimmecoffee.com/pages/locations-hours,"903 Hanshaw Road, Ithaca, NY, 14850",42.4687366,-76.4791774,RESTAURANTS,
Gimme Coffee,https://www.gimmecoffee.com/,"Ithaca, NY",42.4448918,-76.4811448,RESTAURANTS,
Gimme! Coffee,https://www.gimmecoffee.com/,"430 North Cayuga Street, Ithaca, NY, 14850",42.4444636,-76.4994478,RESTAURANTS,
Gimme! Coffee,https://www.gimmecoffee.com/,"506 W State St, Ithaca, NY",42.439518,-76.5064486,RESTAURANTS,
Glenwood Pines,http://glenwoodpines.com/,"1213 Taughannock Boulevard, Ithaca, NY, 14850",42.4956595,-76.541236,RESTAURANTS,
HaKaCha,https://www.hakacha.com/,"311 Third Street, Ithaca, NY, 14850",42.4472628,-76.5049437,RESTAURANTS,
Hangar Theatre,https://hangartheatre.org,"801 Taughannock Boulevard, Ithaca, NY, 14850",42.4553296,-76.5173475,ENTERTAINMENT,
Hawi,https://ithacahawi.weebly.com/,"113 South Cayuga Street, Ithaca, NY, 14850",42.4390189,-76.4987203,RESTAURANTS,
Hound & Mare,https://www.houndandmare.com/,"118 North Aurora Street, Ithaca, NY, 14850",42.4402339,-76.4958111,RESTAURANTS,
Ithaca Ale House,http://www.ithacaalehouse.com/,"301 East State Street, Ithaca, NY, 14850",42.4393606,-76.4951958,RESTAURANTS,
Ithaca Ghost Kitchen,https://www.ithacaghostkitchen.com/,"310 Stewart Avenue, Ithaca, NY, 14850",42.4420342,-76.4900063,RESTAURANTS,
Ithaca Sheepskin,https://ithacasheepskin.com/,"134 East State Street, Ithaca, NY",42.439671,-76.4979061,CLOTHING,
Jack's Collegetown Grill,https://www.jacksgrillithaca.com/,"120 Dryden Road, Ithaca, NY, 14850",42.4417032,-76.4856698,RESTAURANTS,
Jade Garden,https://jadegarden8880.com/,"108 South Meadow Street, Ithaca, NY, 14850",42.4389547,-76.5086304,RESTAURANTS,
Jimmy John's,https://locations.jimmyjohns.com/ny/ithaca/sandwiches-541.html,"122 North Aurora Street, Ithaca, NY, 14850",42.4402826,-76.4958182,RESTAURANTS,
KFC,https://locations.kfc.com/ny/ithaca/401-elmira-rd,"401 Elmira Road, Ithaca, NY, 14850",42.4190234,-76.520054,RESTAURANTS,
Kelly's Dock-Side Cafe,http://kellysdock-sidecafe.com,"319 Taughannock Boulevard, Ithaca, NY, 14850",42.4418424,-76.5122878,RESTAURANTS,
Kilpatrick's Publick House,https://www.kilpatrickspub.com/,"130 East Seneca Street, Ithaca, NY, 14850",42.4406983,-76.4970271,ENTERTAINMENT,
Komonz Cafe,https://www.komonzgrill.com/,"146 East State Street, Ithaca, NY",42.4396941,-76.4975301,RESTAURANTS,
Kung Fu Tea,https://www.kungfutea.com/,"143 Dryden Road, Ithaca, NY, 14850",42.4415043,-76.485969,RESTAURANTS,
Lansing Pizzeria,http://www.lansingpizzeria.com/,"2035 East Shore Drive, Lansing, NY, 14882",42.5347682,-76.5041109,RESTAURANTS,
Le Café Cent-Dix,https://www.lecafecentdix.com/,"110 North Aurora Street, Ithaca, NY, 14850",42.4400115,-76.4958021,RESTAURANTS,
Lev Kitchen,https://www.levkitchen.com/,"222 East State Street, Ithaca, NY, 14850",42.439747,-76.4959241,RESTAURANTS,
Luna Inspired Street Food,https://www.lunastreetfood.com/,"113 North Aurora Street, Ithaca, NY, 14850",42.4400755,-76.4954944,RESTAURANTS,
Mama Said Cafe,https://mama-said.squarespace.com,"1710 Trumansburg Road, Ithaca, NY, 14850",42.494355,-76.5943082,RESTAURANTS,
Maru Ramen,https://www.maru-ramen.com/,"512 West State Street, Ithaca, NY, 14850",42.4394263,-76.5068455,RESTAURANTS,
Maxie's Supper Club & Oyster Bar,https://www.maxiesithaca.com/,"635 West State Street, Ithaca, NY, 14850",42.4389794,-76.5101849,RESTAURANTS,
McDonald's,https://www.mcdonalds.com/us/en-us/location/25634.html,"2350 North Triphammer Road, Ithaca, NY, 14850",42.4848073,-76.4869152,RESTAURANTS,
McDonald's,https://www.mcdonalds.com/us/en-us/location/609.html,"372 Elmira Road, Ithaca, NY, 14850",42.4219962,-76.5177543,RESTAURANTS,
Mercato Bar & Kitchen,http://mercatobarandkitchen.com/,"108 North Aurora Street, Ithaca, NY, 14850",42.4399533,-76.495796,RESTAURANTS,
Mia Tapas Bar & Restaurant,https://www.miaithaca.com/,"130 East State Street, Ithaca, NY, 14850",42.4396904,-76.4979457,RESTAURANTS,
Milkstand,https://www.ithacamilkstand.com/,"215 North Meadow Street, Ithaca, NY, 14850",42.4407124,-76.5080695,RESTAURANTS,
Mix Kitchen & Bar,https://www.mixithaca.com/,"205 Elmira Road, Ithaca, NY, 14850",42.4303237,-76.5031625,RESTAURANTS,
Monks on the Commons,https://www.monksonthecommons.com/,"120 South Aurora Street, Ithaca, NY, 14850",42.4391644,-76.4956576,RESTAURANTS,
Moosewood Restaurant,https://www.moosewoodrestaurant.com/,"215 North Cayuga Street, Ithaca, NY, 14850",42.4406028,-76.4986321,RESTAURANTS,
Northstar House,https://www.northstarpub.com/,"202 East Falls Street, Ithaca, NY, 14850",42.4530617,-76.4972578,RESTAURANTS,
Old Mexico,https://www.oldmexicoithaca.com/index.html,"357 Elmira Road, Ithaca, NY, 14850",42.422906,-76.5153607,RESTAURANTS,
Old Mexico Express,https://oldmexicoexpress.com/,"111 Dryden Road, Ithaca, NY, 14850",42.4416345,-76.4866816,RESTAURANTS,
Papa John's,https://locations.papajohns.com/united-states/ny/14850/ithaca/435-franklin-street,"435 Franklin Street, Ithaca, NY, 14850",42.4481543,-76.5059456,RESTAURANTS,
Petrune,https://petrune.myshopify.com/,"128 East State Street, Ithaca, NY",42.4396744,-76.4980703,CLOTHING,
Pho Time,https://asianchiliphotime.com/photime/,"208A Dryden Road, Ithaca, NY, 14850",42.4417134,-76.4845997,RESTAURANTS,
Pizza Aroma,https://pizzaaromaithacany.com/3032,"307 South Meadow Street, Ithaca, NY, 14850",42.4372125,-76.5080163,RESTAURANTS,
Plato's Closet,https://platoscloset.com/locations/ithaca-ny/,"106 Fairgrounds Memorial Pkwy #500, Ithaca, NY 14850",42.4310855,-76.5120564,CLOTHING,
Plum Tree Restaurant,https://www.goplumtree.com/,"113 Dryden Road, Ithaca, NY, 14850",42.4414943,-76.4865529,RESTAURANTS,
Red's Place,https://www.redsplaceithaca.com/,"107 North Aurora Street, Ithaca, NY, 14850",42.4399109,-76.4954801,RESTAURANTS,
Regal Ithaca Mall Stadium 14,https://www.regmovies.com/theatres/regal-ithaca-mall/0677,"40 Catherwood Road, Ithaca, NY, 14850",42.4843211,-76.4918311,ENTERTAINMENT,
Revelry Yards,https://www.revelryyards.com/,"111 North Aurora Street, Ithaca, NY, 14850",42.4399782,-76.4954828,RESTAURANTS,
Rogue's Harbor Corner Pub,https://www.roguesharbor.com/restaurant,"2079 East Shore Drive, Lansing, NY, 14882",42.5377933,-76.5057024,RESTAURANTS,
Salt Point Brewing,https://www.saltpointbrewing.com/,"6 Louise Bement Lane, Lansing, NY, 14882",42.5385611,-76.5002826,ENTERTAINMENT,
Sangam,https://sangamindianrestaurantithaca.com/,"424 Eddy Street, Ithaca, NY, 14850",42.4421961,-76.4876165,RESTAURANTS,
Scale House Brewery,https://www.scalehousebrews.com/,"Cinema Drive, Ithaca, NY",42.479495,-76.4778202,ENTERTAINMENT,
Shi Miao Dao Yunnan Rice Noodle,https://www.shimiaodaoithaca.com/,"414 Eddy Street, Ithaca, NY, 14850",42.4419412,-76.4876132,RESTAURANTS,
Simeon's American Bistro,https://www.simeonsithaca.com/,"224 East State Street, Ithaca, NY, 14850",42.4397495,-76.495788,RESTAURANTS,
South Hill Cider Farm Winery,https://www.southhillcider.com/,"550 Sandbank Road, Ithaca, NY, 14850",42.3941628,-76.5251965,RESTAURANTS,
Spicy Asian,https://www.spicyasianfood.com/,"335 Elmira Road, Ithaca, NY, 14850",42.4255602,-76.5122779,RESTAURANTS,
State Theatre,http://www.stateofithaca.com/,"107 West State Street, Ithaca, NY, 14850",42.439246,-76.4996158,ENTERTAINMENT,
Subway,https://restaurants.subway.com/united-states/ny/ithaca/401-elmira-rd,"401 Elmira Road, Ithaca, NY, 14850",42.4196272,-76.5192611,RESTAURANTS,
Sumo Japanese Hibachi · Sushi,https://ithacasumo.com/,"2309 North Triphammer Road, Ithaca, NY, 14850",42.4831178,-76.4816063,RESTAURANTS,
Taco Bell,https://locations.tacobell.com/ny/ithaca/222-elmira-road.html,"222 Elmira Road, Ithaca, NY, 14850",42.4291363,-76.5075149,RESTAURANTS,
Tamarind,https://www.tamarindthaiithaca.com/,"503 North Meadow Street, Ithaca, NY, 14850",42.4434179,-76.5082094,RESTAURANTS,
Taste of Thai,https://www.tasteofthainy.com/,"216 East State Street, Ithaca, NY, 14850",42.4397791,-76.4960195,RESTAURANTS,
Taste of Thai Express,http://www.tasteofthaiexpress.com/,"209 South Meadow Street, Ithaca, NY, 14850",42.4377988,-76.5079415,RESTAURANTS,
Taverna Banfi,https://statlerhotel.cornell.edu/food-drink/taverna-banfi,"130 Statler Drive, Ithaca, NY, 14853",42.4465286,-76.4821629,RESTAURANTS,
Texas Roadhouse,https://www.texasroadhouse.com/locations/398-ithacany,"719-25 South Meadow Street, Ithaca, NY, 14850",42.4307737,-76.5075517,RESTAURANTS,
The Boatyard Grill,https://boatyardgrill.com/,"525 Old Taughannock Boulevard, Ithaca, NY, 14850",42.4458838,-76.5125203,RESTAURANTS,
The Cornell Store,https://www.cornellstore.com/,135 Ho Plaza,42.4396567,-76.4988691,CLOTHING,
The Greenhouse Cafe & Cocktail Lounge,https://www.thegreenhouseithaca.com/,"320 East State Street, Ithaca, NY, 14850",42.4396717,-76.4948412,RESTAURANTS,
The Heights,https://theheightsithaca.com/,"903 Hanshaw Road, Ithaca, NY, 14850",42.4688866,-76.4796446,RESTAURANTS,
The State Diner,https://thestatediner.com/,"428 West State Street, Ithaca, NY, 14850",42.4395266,-76.5052141,RESTAURANTS,
The Strand Cafe,https://thestrandithaca.com/,"324 East State Street, Ithaca, NY, 14850",42.4401969,-76.4948361,RESTAURANTS,
The Terrace Restaurant,https://statlerhotel.cornell.edu/food-drink/the-terrace-restaurant,"130 Statler Drive, Ithaca, NY, 14853",42.4462673,-76.4820178,RESTAURANTS,
The Westy,https://www.thewestyisabar.com/,"516 West State Street, Ithaca, NY, 14850",42.4395025,-76.5069594,ENTERTAINMENT,
Vet School Cafe,https://cornellvetdining.com/,"606 Tower Road, Ithaca, NY, 14853",42.4477148,-76.4657543,RESTAURANTS,
Viva Taqueria,https://www.vivataqueria.com/,"215 East State Street, Ithaca, NY, 14850",42.4394878,-76.495865,RESTAURANTS,
Wendy's,https://locations.wendys.com/united-states/ny/ithaca/326-elmira-rd,"326 Elmira Road, Ithaca, NY, 14850",42.4261764,-76.512436,RESTAURANTS,
Xi'an Street Food,https://xianstreetfoodusa.com/,"159 Dryden Road, Ithaca, NY, 14850",42.4415134,-76.4856981,RESTAURANTS,
Yellow Deli,https://yellowdeli.com/ithaca-ny,"143 Ithaca Commons, Ithaca, NY",42.4394651,-76.4974934,RESTAURANTS,
Zocalo Mexican Bar & Grill,https://www.zocaloithaca.com/index.html,"40 Catherwood Rd, Ithaca, NY, 14850",42.4836477,-76.4912033,RESTAURANTS,
